leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,level,country,state,chamber,district,party,votesmart_id,transparencydata_id,photo_url,created_at,updated_at,leadership,order,Rules,Appropriations,Calendar,Aging,Criminal Commitments,Dyslexia,Environmental Flows,Bexar,Criminal Justice,Aquifer,HHS,Windstorm,Finance Weights,Rating
TXL000225,Betty Brown,Betty,,Brown,,,FALSE,state,us,tx,lower,,,25426,816693655f7f49348f4caa446f58a466,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2265.jpg,51:42.2,41:26.1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,100
TXL000373,Cindy Burkett,Cindy,,Burkett,,,TRUE,state,us,tx,lower,101,Republican,117468,499bfd97eedf4c698b876f1ca8088d28,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2195.jpg,24:08.4,43:28.1,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000227,Lon Burnam,Lon,,Burnam,,,TRUE,state,us,tx,lower,90,Democratic,10063,837648e7975142dca92f1cbc9d4e2ec3,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2255.jpg,51:42.2,43:28.3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,36
TXL000374,Angie Chen Button,Angie Chen,,Button,,,TRUE,state,us,tx,lower,112,Republican,117473,f5ca5766c3e942fa88d82417a24cfed2,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2510.jpg,24:08.4,43:28.0,0,193,0,1,0,0,0,0,0,0,0,0,0,0,0,91
TXL000228,Angie Button,Angie,,Button,,,FALSE,state,us,tx,lower,,,102062,f5ca5766c3e942fa88d82417a24cfed2,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2510.jpg,51:42.2,41:26.1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000375,Erwin Cain,Erwin,,Cain,,,TRUE,state,us,tx,lower,3,Republican,116933,6ba4444ea6e84da3bf19f6cd3d5a588d,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2015.jpg,24:08.4,43:28.1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,85
TXL000376,William Callegari,William,,Callegari,,,TRUE,state,us,tx,lower,132,Republican,49685,91f7937da35f47c889234c9d2e44b075,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2295.jpg,24:08.4,43:28.4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,90
TXL000229,Bill Callegari,Bill,,Callegari,,,FALSE,state,us,tx,lower,,,49685,91f7937da35f47c889234c9d2e44b075,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A2295.jpg,51:42.2,41:26.1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,70
TXL000306,Barbara Mallory Caraway,Barbara Mallory,,Caraway,,,TRUE,state,us,tx,lower,110,Democratic,58007,c9cc9299296b471cb3317e4a24bbc0dc,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/House/small/A3730.jpg,51:42.4,43:28.0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,33
TXL000183,John Carona,John,,Carona,,,TRUE,state,us,tx,upper,16,Republican,5475,65571808f5154bf3a27ee8ef34772802,http://www.legdir.legis.state.tx.us/FlashCardDocs/images/Senate/small/A1150.jpg,51:42.0,43:28.4,1,207,0,0,0,0,0,0,0,0,0,0,0,1,0,67
