,data.v2,APL,APL.r,Trans,Trans.r,Small,Bills,ConApproval,SW,5DayQ,5dayAPL,5dayCC,5dayMod,5dayComm,10DayQ,10dayAPL,10dayCC,10dayMod,10dayComm,15dayQ,15dayAPL,15dayCC,15dayMod,15dayComm,date2,5dayCCf,5dayCCr,5dayAPLf,5dayAPLr,10dayCCf,10dayCCr,10dayAPLf,10dayAPLr,15dayCCf,15dayCCr,15dayAPLf,15dayAPLr
1015,3/1/01,2.064469113,2.067388742,0.696692394,0.229232344,3.04353942,144,53,8.11851418,1.564251979,1.417769074,0.770228936,0.091009196,17,1.390250216,1.272258728,0.817516319,0.071761904,13,1.341727491,1.153222871,0.874355478,0.076090123,11,3/1/01,0.549180978,245.3861607,1.578224373,0.527095855,0.695317466,310.5334821,1.500249181,0.51661834,0.813127669,364.4174107,1.443840884,0.509732609
1016,3/5/01,1.74340836,4.066797893,0.926491844,0.125670945,17.19729673,18,55,7.995650452,2.270879952,1.677119138,0.631358241,0.118227872,33,1.408074293,1.294921588,0.81097004,0.074503583,13,1.348069531,1.152505175,0.874827309,0.075736578,11,3/5/01,0.290811711,130.09375,1.748296181,0.557569565,0.672302397,300.9084821,1.511126258,0.517995224,0.813092276,364.7254464,1.442993468,0.509696736
1017,3/6/01,2.151033506,2.157288671,0.560548697,0.184340322,3.049678741,188,55,8.612416708,2.004734548,1.649136375,0.643653022,0.123279964,19,1.404556558,1.299067873,0.805007989,0.079497884,13,1.349649566,1.141646124,0.88185494,0.06976544,11,3/6/01,0.335437098,149.0959821,1.717014721,0.550729288,0.667627517,299.0825893,1.513290488,0.518262233,0.824776363,369.3861607,1.4387499,0.50915823
1018,3/7/01,1.905634623,1.863215085,0.771756439,0.362090074,2.083948579,128,55,9.179538769,2.05361996,1.652745704,0.65248857,0.122847451,21,1.41499265,1.300474461,0.811101881,0.065741648,13,1.350992744,1.132919358,0.887859686,0.065027965,11,3/7/01,0.33021642,147.0915179,1.720408877,0.551400887,0.664378122,298.5089286,1.513853767,0.518346516,0.830829506,373.1316964,1.435150507,0.508731176
1019,3/8/01,2.056303213,1.92447667,0.68428183,0.29679533,2.157761508,160,55,8.353015448,2.323390746,1.711812219,0.638872121,0.133788046,21,1.391396191,1.26891529,0.824283591,0.065995007,12,1.34790643,1.141198864,0.881625493,0.070265114,11,3/8/01,0.281973762,125.4575893,1.756036773,0.559418895,0.699923477,313.3571429,1.497039789,0.516223849,0.826513113,369.578125,1.438113714,0.50913622
1020,3/12/01,1.546783626,4.147619579,0.982263514,0.105509965,24.96340852,14,55,6.91740208,2.705077921,1.766632572,0.636879161,0.141457731,31,1.41807238,1.308746852,0.811342279,0.074985248,12,1.369926232,1.203170225,0.854840008,0.055965981,12,3/12/01,0.238159444,105.9330357,1.789649249,0.568204036,0.662469664,296.3794643,1.516378036,0.518661044,0.764517735,341.4375,1.466676654,0.512513359
1021,3/13/01,1.925313798,1.868653124,0.677963295,0.327950592,2.006434239,169,55,6.549884649,2.041549089,1.631963053,0.671652678,0.174071668,22,1.52082338,1.468167142,0.713031261,0.118149246,12,1.360599765,1.194685642,0.854607955,0.057827858,12,3/13/01,0.341740086,153.8370536,1.709744527,0.549182297,0.510989004,228.5535714,1.600440936,0.530341946,0.7692368,345.0446429,1.463065276,0.512062654
1022,3/14/01,1.406020799,1.539269735,0.88080877,0.724719725,1.330560214,89,55,7.439651222,1.664789876,1.460172355,0.773497169,0.185992347,17,1.396980148,1.328850715,0.784596148,0.132422297,12,1.354576349,1.161165272,0.870459122,0.059408531,12,3/14/01,0.505840854,226.9620536,1.602824385,0.530663302,0.638425801,287.75,1.52635127,0.519963252,0.79927443,359.3660714,1.4486717,0.510325977
1023,3/15/01,1.590191398,1.712637824,0.87723831,0.536353778,1.761498903,139,55,7.812545764,1.602422802,1.447544891,0.763886918,0.166192027,15,1.383008239,1.301965456,0.797794734,0.141916106,12,1.353255388,1.143725902,0.877595086,0.059562692,12,3/15/01,0.523396039,234.7834821,1.591951302,0.529108799,0.667521514,299.2142857,1.512896992,0.518242911,0.818043182,366.8169643,1.440871185,0.509454092
1024,3/19/01,2.256943455,2.756237397,0.832672316,0.145574681,6.985286456,55,55,7.934701606,1.702936745,1.497482998,0.753618918,0.134742789,16,1.422179043,1.337024752,0.78738606,0.148240941,13,1.349301459,1.139755285,0.880212358,0.057564003,12,3/19/01,0.48157098,214.4419643,1.619934484,0.533287325,0.633709743,282.96875,1.532058465,0.520704579,0.821963575,368.5133929,1.439079978,0.509258465
